0.714285714	0.25	1	0	0	0	1	1
0	0	1	0	1	1	0	1
0	1	1	0	1	1	0	0
0	1	0	0	0	0	1	0
1	1	0	0	1	1	0	0.25
0	0.589285714	1	1	0	0	1	0.339285714
1	0	0	0	0	1	1	0
0.839285714	1	0	1	1	1	0	1
0	1	1	1	1	0	0	1
1	0	0	0.5	1	0	0	0
0.410714286	0	1	1	1	1	0	0.589285714
1	0	1	0	0	0	0.267857143	0
0.410714286	1	1	1	1	1	1	1
0.357142857	0	0	1	0	0.446428571	0	1
1	1	0	1	1	1	1	0.267857143
0	1	1	1	0	1	0	0
1	1	1	1	0	1	0	0.607142857
1	1	0	1	0	0	1	1
1	0	0	0.464285714	1	1	1	1
0	0	0	0	1	1	0	0.303571429
0.517857143	0	0	1	1	0	1	0.607142857
1	0	1	1	1	0	0	1
0	0	1	1	0	1	1	1
1	1	1	0	1	1	0	1
0.678571429	1	1	0	0	1	0	0
1	1	0	0	1	0	1	0.75
0.660714286	1	1	1	0	1	1	0
0.553571429	1	0	0	0	0	0	0.5
1	1	0	0.642857143	0	0	1	0
0.660714286	0	1	1	0	0	0	0.357142857
0.357142857	1	0	0	1	1	1	1
0	0	0	0.767857143	0	0	0	0
0.160714286	1	1	0	1	0	1	0.428571429
0	0	0	0	0	1	1	0.839285714
0.660714286	0	1	0	1	1	1	0.446428571
1	1	1	0	1	0	1	0
0.357142857	0	1	0	1	0	0	0
0	1	0	0	1	0	0	1
0	1	0	1	1	0	1	0
1	0	1	1	1	0.517857143	1	0
1	0	0.303571429	0	0	1	0	0.75
0	1	0	1	1	1	0	0.517857143
0.392857143	1	0	0	1	1	1	0
0	0	1	0.482142857	1	0	1	1
0	0	1	1	1	1	1	0
1	0	0	1	0	1	0	0
0	0	1	0	0	0	0	0.607142857
0	0	1	0	0	1	1	0
1	0	1	1	0	1	1	1
1	1	1	1	1	0	1	0.642857143
0	1	0	0.732142857	0	0	1	1
0.303571429	1	1	0.303571429	0	1	0	1
0.517857143	1	1	1	1	0	0	0
0.678571429	0	0	0	1	0	0	1
0.321428571	0	0	1	0	1	1	0.25
