0.75	0.8	0.25	0.75	0.25	0.75
0.825	0.175	0.325	0.725	0.775	0.75
0.45	0.85	0.675	0.275	0.7	0.7
0.75	0.775	0.725	0.75	0.25	0.25
0.5	0.125	0.225	0.6	0.25	0.75
0.225	0.25	0.25	0.275	0.25	0.25
0.8	0.8	0.75	0.25	0.25	0.725
0.9	0.325	0.25	0.275	0.3	0.7
0.15	0.6	0.75	0.275	0.675	0.75
0.7	0.775	0.225	0.25	0.25	0.25
0.475	0.525	0.725	0.725	0.75	0.275
0.25	0.725	0.275	0.75	0.25	0.25
0.15	0.35	0.275	0.75	0.275	0.725
0.575	0.875	0.275	0.725	0.725	0.275
0.75	0.25	0.25	0.75	0.25	0.25
0.225	0.675	0.275	0.25	0.75	0.25
0.3	0.75	0.75	0.75	0.25	0.75
0.175	0.775	0.325	0.75	0.775	0.725
0.075	0.35	0.725	0.7	0.575	0.275
0.8	0.775	0.725	0.75	0.75	0.725
0.7	0.1	0.725	0.25	0.325	0.675
0.825	0.175	0.775	0.675	0.7	0.275
0.7	0.225	0.25	0.25	0.725	0.275
0.775	0.775	0.725	0.25	0.75	0.225
0.175	0.2	0.75	0.3	0.225	0.725
0.3	0.2	0.75	0.225	0.725	0.275
0.175	0.875	0.75	0.625	0.675	0.275
0.2	0.825	0.275	0.275	0.3	0.7
0.775	0.35	0.725	0.25	0.25	0.225
0.475	0.475	0.4	0.225	0.25	0.725
0.775	0.775	0.225	0.25	0.75	0.725
0.375	0.2	0.725	0.75	0.225	0.275
0.75	0.375	0.75	0.25	0.775	0.725
0.325	0.2	0.75	0.75	0.725	0.775
0.875	0.6	0.275	0.7	0.675	0.275
0.775	0.35	0.725	0.75	0.25	0.75
0.225	0.225	0.25	0.25	0.75	0.75
0.525	0.5	0.2	0.7	0.675	0.725
0.275	0.7	0.75	0.25	0.225	0.25
0.275	0.2	0.25	0.75	0.75	0.275
