1	0.7	1	1	0	0
0	1	0	0	1	1
1	0.725	1	0	0	1
1	0	0	1	0	0
1	0	0	0	0	1
1	0	0	1	1	1
0.4	0.65	0	1	1	1
0	0.25	0	0	1	0
0.575	1	1	1	1	0
0	1	1	0	1	0
1	0.75	0	1	0	1
0	1	1	0	0	1
1	0	1	1	1	0
0	0.25	1	0	0	0
0.425	0	1	0	0	1
0	0.3	1	1	1	0
0.45	0	0	1	1	0
0.575	1	1	0	0	0
0.4	0	1	1	1	1
0.425	0	1	1	0	0
0	1	1	1	0	0
0.55	1	1	1	0	1
0	0.275	1	0	1	1
1	0	1	0	0	0
0	1	0	1	0	1
0.75	0.475	0	0	0.275	0
0	0.35	0	0	0	1
1	0.7	1	1	1	1
0	1	1	1	1	1
1	0.775	0	1	1	0
0.575	1	0	1	0	0
0	1	0	1	1	0
0.475	0	0	0	1	1
0	0.3	0	1	0	0
1	1	0	0	1	1
0.55	1	1	0	1	1
0	1	0	0	0	0
1	0	1	1	0	1
1	0.6	1	0	1	0
0.375	0	0	1	0	1
